,Name,Host,genome,Label,Domain,Phylum,Class,Order,Family,Genus,Species,Present,Habitat3,Habitat2,Habitat,Substrate,Parentmaterial,Location,Continent,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Annual_Mean_Temperature,Annual_Precipitation,Altitude
1,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.005.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.005,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
2,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.012.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.012,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
3,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.009.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.009,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__CAIVAU01,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
4,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.013.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.013,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__DSPG01,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
5,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.003.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.003,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__DSSA01,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
6,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.002.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.002,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Erythrobacter,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
7,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.015.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.015,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__GCA-2737725,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
8,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.006.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.006,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
9,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.004.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.004,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__JACMLW01,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
10,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.014.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.014,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Ancalomicrobiaceae,g__Prosthecomicrobium_A,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
11,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,Bin.010.fastaAetokthonos_hydrillicola_assembly,AeHy_Bin.010,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__,1,temperate,fresh_water,aquatic epiphyte,fresh water,,"South Carolina,
USA",North America,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
