,Name,Host,Habitat,Habitat2,Habitat3,Location,Continent,Substrate,Parentmaterial,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Annual_Mean_Temperature,Annual_Precipitation,Altitude
Aetokthonos_hydrillicola,Aetokthonos hydrillicola,Aetokthonos_hydrillicola,aquatic epiphyte,fresh_water,temperate,"South Carolina,
USA",North America,fresh water,,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,1186,102
Aphanocapsa_lilacina,Aphanocapsa lilacina,Aphanocapsa_lilacina,cave rock wall,rock_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina""",23.1,3045,21
Aphanocapsa_sp.,Aphanocapsa sp.,Aphanocapsa_sp.,desert wet wall,wet_wall,desert,"Utah,
USA",North America,subaerial,,Cyanobacteria,unclassified,Acaryochloridales,unclassified,"""Aphanothece"" ","""Aphanocapsa"" sp.",10.2,220,1755
Aphanothece_saxicola,Aphanothece saxicola,Aphanothece_saxicola,desert wet wall,wet_wall,desert,"Utah,
USA",North America,subaerial,,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola""",7,296,2043
Aphanothece_sp.,Aphanothece sp.,Aphanothece_sp.,desert soil,desert_soil,desert,"California,
USA",North America,soil,dolomite,Cyanobacteria,unclassified,Gomontiellales,unclassified,"""Aphanothece"" ","""Aphanothece"" sp.",16.6,162,1084
Brasilonema_angustatum,Brasilonema angustatum,Brasilonema_angustatum,tropical soil,tropical_soil,tropical,"Hawaii,
USA",Pacific Islands,soil,,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,23.4,1706,229
Brasilonema_octagenarum,Brasilonema octagenarum,Brasilonema_octagenarum,on wood in tropics,wood,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum,23.4,1706,229
Calothrix_sp.,Calothrix sp.,Calothrix_sp.,desert soil,desert_soil,desert,"California,
USA",North America,soil,granitic,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica,19.2,96,654
Chroococcus_sp.,Chroococcus sp.,Chroococcus_sp.,desert soil,desert_soil,desert,"California,
USA",North America,soil,dolomite,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp.",16.6,162,1084
Cyanomargarita_calcarea,Cyanomargarita calcarea,Cyanomargarita_calcarea,desert wet wall,wet_wall,desert,"Utah,
USA",North America,subaerial,,Cyanobacteria,unclassified,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,8.9,294,1873
Cyanosarcina_radialis,Cyanosarcina radialis,Cyanosarcina_radialis,cave rock wall,rock_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Gomontiellales,unclassified,Cyanosarcina,Cyanosarcina radialis,23.6,1291,11
Desmonostoc_geniculatum,Desmonostoc geniculatum,Desmonostoc_geniculatum,cave rock wall,rock_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum,23.1,3045,21
Desmonostoc_vinosum,Desmonostoc vinosum,Desmonostoc_vinosum,cave rock wall,rock_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc vinosum,23.1,3045,106
Drouetiella_hepatica,Drouetiella hepatica,Drouetiella_hepatica,rock surface,rock,temperate,"Kosice,
Slovakia",Europe,subaerial,,Cyanobacteria,unclassified,Oculatellales,Oculatellaceae.,Drouetiella,Drouetiella hepatica,5.2,779,701
Drouetiella_lurida,Drouetiella lurida,Drouetiella_lurida,temperate soil,temperate_soil,temperate,"Most, Czech Republic",Europe,soil,,Cyanobacteria,unclassified,Oculatellales,Oculatellaceae,Drouetiella,Drouetiella lurida,NA,NA,NA
Gloeocapsa_sp.,Gloeocapsa sp.,Gloeocapsa_sp.,desert soil,desert_soil,desert,"Utah,
USA",North America,soil,,Cyanobacteria,unclassified,Chroococcidiopsidales,unclassified,Gloeocapsa,Gloeocapsa sp.,8.5,379,1687
Goleter_apundmare,Goleter apundmare,Goleter_apundmare,cave rock wall,rock_wall,tropical,"Hawaii,
USA",Pacific Islands,subaerial,,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Goleter,Goleter apudmare,23.1,3045,21
