sample_ID,culture_ID,Habitat,Location,Continent,Lat,Long,Altitude (m),Pylum,Class,Order,Family,Genus,Species
C1,Aetokthonos_hydrillicola_B3-Florida,Aquatic_epiphyte,"South Carolina,
USA",North America,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola
C2,Aphanocapsa_lilacina_HA4352-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina"""
C3,Aphanocapsa_sp._GSE-SYN-MK-11-07L,Desert_wet_wall,"Utah,
USA",North America,37.8291,-111.42,1755,Cyanobacteria,unclassified,Synechococcales,unclassified,unclassified,"""Aphanocapsa"" sp."
C4,Aphanothece_saxicola_GSE-SYN-MK-01-06B,Desert_wet_wall,"Utah,
USA",North America,37.6093,-111.8978,2043,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola"""
C5,Aphanothece_sp._CMT-3BRIN-NPC111,Desert_soil,"California,
USA",North America,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Oscillatoriales,unclassified,unclassified,"""Aphanothece"" sp."
C6,Brasilonema_angustatum_HA4187-MV1,Tropical_soil,"Hawaii,
USA",Pacific Islands,21.311,-157.823,229,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum
C7,Brasilonema_octagenarum_HA4186-MV1,On_wood_tropica,"Hawaii,
USA",Pacific Islands,21.311,-157.823,229,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum
C8,Calothrix_sp._FI2-JRJ7,Desert_soil,"California,
USA",North America,35.3619,-116.3226,654,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica
C9,Chroococcus_sp._CMT-3BRIN-NPC107,Desert_soil,"California,
USA",North America,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp."
C10,Cyanomargarita_calcarea_GSE-NOS-MK-12-04C,Desert_wet_wall,"Utah,
USA",North America,37.48,-112.09,1873,Cyanobacteria,unclassified,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea
C11,Cyanosarcina_radialis_HA8281-LM2,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,21.8883,-159.4188,11,Cyanobacteria,unclassified,unclassified,unclassified,unclassified,Cyanosarcina radialis
C12,Desmonostoc_geniculatum_HA4340-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum
C13,Desmonostoc_vinosum_HA7617-LM4,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2202,-159.5794,106,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc vinosum
