"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Host"
"1",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911,"Desmonostoc_vinosum"
"2",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911,"Stenomitos_rutilans"
"3",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911,"Aphanocapsa_lilacina"
"4",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911,"Desmonostoc_geniculatum"
"5",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911,"Goleter_apundmare"
"6",23.1,86,66,1514,295,166,129,219,248,249,211,3045,358,128,29,962,537,555,911,"Pelatocladus_maniniholoens"
"7",23.1,85,66,1467,294,167,127,220,246,249,212,1446,174,72,28,509,261,269,411,"Komarekiella_atlantica"
"8",23.6,82,65,1484,298,172,126,224,251,253,216,1291,158,65,29,461,224,233,366,"Tolypothrix_carrinoi"
"9",23.6,82,65,1484,298,172,126,224,251,253,216,1291,158,65,29,461,224,233,366,"Cyanosarcina_radialis"
"10",22,83,65,1378,284,158,126,210,237,237,202,2335,253,118,23,711,445,456,704,"Scytolyngbya_sp."
"11",22.9,81,65,1370,292,168,124,220,242,246,212,2128,228,109,23,659,403,408,635,"Lyngbya_sp."
"12",23.4,81,65,1387,294,171,123,223,250,250,216,1706,192,89,26,562,300,300,501,"Brasilonema_angustatum"
"13",23.4,81,65,1387,294,171,123,223,250,250,216,1706,192,89,26,562,300,300,501,"Brasilonema_octagenarum"
"14",21.9,82,66,1376,280,156,124,210,235,235,201,3229,342,190,18,943,666,681,843,"Pleurocapsa_minor_1"
"15",22.1,81,65,1362,282,159,123,212,236,237,203,2985,317,169,19,867,603,614,792,"Scytonematopsis_contorta"
"16",22.8,79,65,1361,288,167,121,218,245,245,211,2504,276,140,21,757,492,492,684,"Iphinoe_sp."
"17",17.8,158,41,7912,385,3,382,97,210,282,80,106,16,1,49,43,10,21,42,"Oscillatoria_tanganyikae"
"18",19.2,158,40,8237,400,9,391,109,228,300,90,96,14,1,42,34,9,25,33,"Calothrix_sp."
"19",15.4,159,45,6858,349,1,348,82,219,245,73,299,42,2,51,122,29,48,120,"Plectolyngbya_sp."
"20",14.9,157,45,6818,343,-1,344,78,215,241,69,311,44,2,52,129,30,50,125,"Myxacorys_californica"
"21",19.8,161,44,7353,395,30,365,122,226,295,108,138,21,1,48,47,9,35,47,"Trichotorquatus_andrei"
"22",20.1,161,43,7403,398,32,366,295,230,298,111,128,20,1,48,45,9,33,42,"Scytonema_hyalinum"
"23",20.4,158,43,7434,400,36,364,299,234,302,114,119,20,0,53,44,7,32,39,"Nodosilinea_sp."
"24",17.9,155,43,7191,374,21,353,104,204,275,93,192,27,1,45,68,15,44,67,"Phormidesmis_sp."
"25",18.7,155,43,7268,382,27,355,112,214,284,100,167,26,1,49,57,12,42,56,"Microcoleus_vaginatus"
"26",16.6,144,39,7974,365,-2,367,84,200,272,68,162,25,3,43,54,18,45,52,"Aphanothece_sp."
"27",16.6,144,39,7974,365,-2,367,84,200,272,68,162,25,3,43,54,18,45,52,"Chroococcus_sp."
"28",16.6,144,39,7974,365,-2,367,84,200,272,68,162,25,3,43,54,18,45,52,"Hormoscilla_sp."
"29",17.1,144,38,8103,371,0,371,87,205,277,71,153,23,3,42,51,17,42,48,"Nostoc_desertoum"
"30",17.1,144,38,8103,371,0,371,87,205,277,71,153,23,3,42,51,17,42,48,"Nostoc_indistinguendum"
