sample_name,culture_ID,cluster,size,longest_contig,n50,contigs,completeness,purity,av_cov,av_gc,kingdom,phylum,class,order,family,genus,species,taxid,Habitat,Location ,Continent,Substrate,Lat,Long,Altitude,Host_Phylum,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
sa001,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round4_4,719061,511034,511034,3,26.61870504,100,103.4574925,67.8949352,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Bosea sp. OAE506,2663870,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa002,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_2,3131169,2156240,2156240,3,100,100,1261.564188,66.04354476,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas lacunae,2698828,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa003,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round4_1,4064909,1581584,1339705,8,58.99280576,100,106.2843345,68.69654401,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,unclassified,85413,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa004,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round4_0,4747154,2240044,1466690,9,99.28057554,97.87234043,86.22604575,68.02829653,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified,unclassified,356,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa005,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_10,3871161,1056674,512242,9,97.12230216,98.54014599,366.3506529,66.14829505,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,unclassified,Phycisphaeraceae bacterium,2026777,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa006,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round3_2,4744879,1630080,1004076,10,97.84172662,98.55072464,99.05638268,65.17622473,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified,Proteobacteria bacterium,1977087,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa007,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_9,2911114,770112,548578,12,100,100,858.7486581,67.56485662,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Porphyrobacter,unclassified,1111,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa008,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round3_4,3894726,1044241,523955,12,92.08633094,98.46153846,48.10334283,65.64582464,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium zavarzinii,48292,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa009,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round2_3,5543349,1863474,597428,14,99.28057554,99.28057554,32.53929078,69.35614193,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Prosthecomicrobium,Prosthecomicrobium hirschii,665126,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
sa010,Aetokthonos_hydrillicola_B3-Florida,DBSCAN_round4_3,2672046,924392,605504,18,82.73381295,97.45762712,45.21744686,68.84379984,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Alsobacteraceae,Alsobacter,Alsobacter metallidurans,340221,Aquatic_epiphyte,SC_USA,NorthAmerica,fresh_water,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,16.6,139,41,7209,330,-3,333,86,172,256,70,1186,122,73,15,349,233,317,324
